Contestant,Series,Round,Signature Bake,Signature Flavor,Signature Looks,Signature Handshake,Tech,First Half Review,Showstopper Bake,Showstopper Flavor,Showstopper Looks,Showstopper Handshake,Second Half Review,Winner,Eliminated
Sandro,10,6,1,-1,0,,4,,-1,-1,1,,,,
Dawn,10,6,0,-1,-1,,5,,-1,-1,-1,,-1,,1
Syabira,10,6,1,1,1,1,1,,1,0,1,,1,1,
Janusz,10,6,1,-1,0,,2,,1,-1,1,,,,
Abdul,10,7,1,1,1,,4,,0,1,1,,,,
Maxy,10,7,-1,1,0,,2,,1,-1,0,,,,
Kevin,10,7,-1,1,-1,,3,,1,1,-1,,-1,,1
Sandro,10,7,1,-1,1,,1,,1,0,1,,1,,
Syabira,10,7,1,1,1,,6,,1,1,1,,1,1,
Janusz,10,7,1,1,1,,5,,1,-1,1,,-1,,
Abdul,10,8,-1,-1,-1,,3,,1,1,-1,,1,,
Maxy,10,8,-1,1,-1,,5,,0,1,0,,-1,,1
Sandro,10,8,-1,1,-1,,1,,-1,1,1,,-1,,
Syabira,10,8,0,1,1,,4,,1,1,0,,1,1,
Janusz,10,8,-1,-1,1,,2,,-1,1,0,,1,,
Abdul,10,9,1,1,-1,,2,1,1,1,1,,1,1,
Sandro,10,9,1,0,0,,4,-1,1,1,0,,-1,,
Syabira,10,9,1,1,1,,1,1,0,1,1,,1,,
Janusz,10,9,-1,1,1,,3,-1,-1,1,0,,-1,,1
Abdul,10,10,1,1,-1,,1,,-1,0,-1,,,,
Sandro,10,10,-1,1,1,,3,,-1,1,-1,,,,
Syabira,10,10,1,1,1,,2,,1,1,0,,,1,
Matty,11,1,0,1,-1,,7,,1,1,-1,,,,
Dan,11,1,1,1,1,,1,1,1,1,1,,1,1,
Josh,11,1,-1,1,1,,8,,0,0,1,,,,
Tasha,11,1,1,1,-1,,11,-1,1,1,1,,,,
Cristy,11,1,1,0,1,,6,1,1,1,1,,1,,
Saku,11,1,0,1,0,,5,,-1,0,1,,,,
Dana,11,1,0,1,-1,,12,-1,0,-1,-1,,-1,,
Nicky,11,1,0,0,1,,10,,-1,0,1,,-1,,
Rowan,11,1,1,1,1,,9,,1,1,1,,,,
Abbi,11,1,1,1,1,,3,1,1,1,1,,1,,
Keith,11,1,1,1,1,,4,1,1,1,-1,,1,,
Amos,11,1,0,-1,-1,,2,-1,-1,-1,0,,-1,,1
Matty,11,2,0,1,1,,5,,1,1,1,,,,
Dan,11,2,1,1,-1,,2,,0,1,1,,,,
Josh,11,2,1,1,1,,6,,1,1,1,1,1,,
Tasha,11,2,1,1,1,1,8,1,1,1,1,,1,1,
Cristy,11,2,0,0,1,,9,,1,1,1,,,,
Saku,11,2,0,1,1,,10,,1,1,-1,,,,
Dana,11,2,0,0,-1,,7,-1,1,1,0,,,,
Nicky,11,2,1,0,1,,4,-1,0,0,1,,-1,,
Rowan,11,2,1,1,1,,3,1,0,1,-1,,,,
Abbi,11,2,1,-1,0,,1,,1,1,1,,,,
Keith,11,2,1,1,-1,,11,-1,-1,1,1,,-1,,1
Matty,11,3,1,1,-1,,7,,0,1,1,,,,
Dan,11,3,1,1,0,,10,-1,-1,-1,-1,,-1,,
Josh,11,3,1,1,1,,4,1,1,1,1,,1,,
Tasha,11,3,1,1,0,,2,1,1,1,1,,1,1,
Cristy,11,3,0,-1,1,,6,,1,1,1,,,,
Saku,11,3,-1,1,1,,1,1,-1,-1,1,,,,
Dana,11,3,-1,1,-1,,3,,-1,1,0,,,,
Nicky,11,3,-1,-1,0,,5,,0,-1,1,,,,
Rowan,11,3,0,0,-1,,9,-1,-1,-1,1,,-1,,
Abbi,11,3,-1,-1,-1,,8,-1,0,1,-1,,-1,,1
Matty,11,4,0,1,0,,2,,1,1,0,,1,1,
Dan,11,4,-1,-1,1,,1,,-1,1,1,,1,,
Josh,11,4,-1,1,0,,6,,1,-1,-1,,,,
Cristy,11,4,-1,-1,0,,7,-1,-1,1,1,,-1,,
Saku,11,4,-1,1,-1,,8,-1,-1,1,0,,-1,,
Dana,11,4,0,1,1,,5,,1,-1,-1,,,,
Nicky,11,4,0,0,1,,4,,1,1,1,,1,,
Rowan,11,4,0,1,1,,3,,0,-1,-1,,-1,,
Matty,11,5,-1,1,-1,,7,,-1,0,-1,,-1,,
Dan,11,5,0,1,-1,,1,,1,-1,0,,,,
Josh,11,5,-1,1,0,,8,,1,1,1,,1,,
Tasha,11,5,1,1,1,,3,,0,1,-1,,1,,
Cristy,11,5,1,1,1,1,5,,1,1,1,,1,1,
Saku,11,5,-1,1,-1,,6,,0,0,1,,-1,,
Dana,11,5,-1,1,1,,2,,-1,0,0,,-1,,
Nicky,11,5,-1,0,1,,9,,-1,1,1,,-1,,1
Rowan,11,5,1,1,-1,,4,,-1,-1,-1,,-1,,1
Matty,11,6,-1,-1,1,,4,-1,-1,1,-1,,-1,,
Dan,11,6,0,1,0,,3,,1,-1,1,,,,
Josh,11,6,1,1,1,,2,1,1,1,1,,1,1,
Tasha,11,6,1,1,1,,7,,1,1,1,,1,,
Cristy,11,6,1,1,1,,1,1,-1,1,1,,1,,
Saku,11,6,-1,1,1,,5,,1,-1,1,,-1,,
Dana,11,6,0,-1,-1,,6,-1,-1,-1,1,,-1,,1
Matty,11,7,-1,1,1,,6,1,1,-1,1,,,,
Dan,11,7,1,1,-1,,2,1,1,1,1,,1,1,
Josh,11,7,-1,1,0,,3,1,1,1,1,,1,,
Tasha,11,7,1,-1,-1,,1,,0,1,1,,,,
Cristy,11,7,-1,-1,0,,4,-1,-1,1,0,,-1,,
Saku,11,7,-1,1,1,,5,-1,0,-1,-1,,-1,,1
Matty,11,8,1,1,1,1,3,1,-1,1,1,,1,1,
Dan,11,8,0,0,1,,5,-1,-1,1,1,,-1,,
Josh,11,8,0,1,-1,,4,-1,1,1,1,,1,,
Tasha,11,8,-1,1,1,,1,1,0,0,0,,,,
Cristy,11,8,-1,1,0,,2,-1,0,1,-1,,-1,,1
Matty,11,9,-1,1,1,,2,,-1,1,-1,,-1,,
Dan,11,9,1,1,1,1,3,,1,0,1,,1,,
Josh,11,9,0,0,1,,1,,1,1,1,,1,1,
Tasha,11,9,1,1,0,,4,,-1,1,0,,-1,,1
Matty,11,10,1,0,-1,,3,,1,1,0,,,1,
Dan,11,10,-1,1,-1,,2,-1,0,1,-1,,,,
Josh,11,10,1,1,1,,1,1,0,0,0,,,,
Andy,12,1,-1,1,1,,8,,-1,1,1,,,,
Christiaan,12,1,-1,-1,1,,2,-1,-1,-1,1,,-1,,
Dylan,12,1,-1,1,1,,4,,1,1,1,,,,
Georgie,12,1,0,1,-1,,1,1,0,1,1,,1,,
Gill,12,1,1,1,-1,,6,,1,1,1,,,,
Hazel,12,1,-1,0,0,,10,-1,-1,1,-1,,-1,,
Illiyin,12,1,1,1,1,1,7,,1,1,0,,,,
John,12,1,1,1,0,,3,1,1,1,1,,1,1,
Mike,12,1,0,1,-1,,11,-1,1,1,1,,,,
Nelly,12,1,1,1,0,,5,,1,1,0,,,,
Sumayah,12,1,1,1,1,,9,,1,1,1,,1,,
Andy,12,2,1,1,1,,10,,1,1,0,,,,
Christiaan,12,2,1,1,0,,6,,1,1,1,1,1,,
Dylan,12,2,1,1,1,,11,,1,1,1,,,,
Georgie,12,2,-1,0,-1,,9,-1,-1,1,-1,,-1,,
Gill,12,2,1,1,1,,4,,1,1,1,,,,
Hazel,12,2,-1,-1,-1,,5,-1,-1,0,0,,-1,,1
Illiyin,12,2,0,1,0,,8,-1,0,1,0,,-1,,
John,12,2,0,1,1,,2,1,0,1,0,,,,
Mike,12,2,1,1,0,,1,,-1,1,1,,,,
Nelly,12,2,1,1,-1,,7,,1,1,1,,,,
Sumayah,12,2,1,1,1,,3,1,1,1,1,,1,1,
Andy,12,3,1,1,1,,3,,0,-1,-1,,-1,,
Christiaan,12,3,1,1,1,,8,,-1,1,0,,,,
Dylan,12,3,1,1,1,1,10,,1,1,1,,1,1,
Georgie,12,3,1,1,1,,7,,1,1,1,,1,,
Gill,12,3,1,1,1,,5,,0,1,1,,,,
Illiyin,12,3,1,1,0,,4,,1,1,1,,,,
John,12,3,-1,1,1,,9,-1,0,1,1,,-1,,1
Mike,12,3,0,1,1,,6,,-1,-1,1,,,,
Nelly,12,3,1,1,1,,1,1,1,1,1,,1,,
Sumayah,12,3,-1,1,0,,2,,0,0,1,,,,
Andy,12,4,1,1,1,,9,,0,1,1,,,,
Christiaan,12,4,1,1,1,,2,1,-1,1,1,,,,
Dylan,12,4,1,1,0,,5,1,1,1,0,,1,,
Georgie,12,4,1,1,1,,1,1,1,1,0,,1,1,
Gill,12,4,1,1,1,,8,,0,1,1,,,,
Illiyin,12,4,1,1,1,,4,,1,0,-1,,,,
Mike,12,4,-1,1,0,,7,-1,-1,0,1,,-1,,1
Nelly,12,4,-1,1,1,,6,-1,1,1,1,,,,
Sumayah,12,4,-1,1,1,,3,,-1,-1,0,,-1,,
Andy,12,5,-1,1,-1,,7,,0,0,-1,,-1,,1
Christiaan,12,5,-1,0,0,,2,,-1,1,1,,,,
Dylan,12,5,1,-1,1,,1,,-1,1,1,,,,
Georgie,12,5,1,1,1,,6,,-1,1,0,,,,
Gill,12,5,1,1,1,,8,,1,1,1,,1,1,
Illiyin,12,5,-1,-1,0,,5,,1,1,0,,-1,,
Nelly,12,5,-1,1,-1,,3,,-1,1,1,,,,
Sumayah,12,5,-1,1,1,,4,,0,1,1,,1,,
Christiaan,12,6,1,1,1,,6,,1,1,1,,,,
Dylan,12,6,-1,1,1,,4,,0,1,-1,,-1,,
Georgie,12,6,-1,-1,-1,,2,,1,1,1,,,,
Gill,12,6,1,1,1,,7,,1,1,1,,1,,
Illiyin,12,6,-1,1,-1,,1,,1,1,1,,,,
Nelly,12,6,1,1,0,,5,,-1,-1,1,,-1,,1
Sumayah,12,6,1,-1,1,,3,,1,1,1,1,1,1,
Christiaan,12,7,0,-1,1,,3,-1,0,1,1,,,,
Dylan,12,7,1,1,1,1,1,1,1,1,1,,1,1,
Georgie,12,7,0,1,0,,2,1,1,1,1,,1,,
Gill,12,7,0,-1,1,,4,-1,1,1,1,,-1,,
Illiyin,12,7,0,1,-1,,5,-1,1,1,1,,-1,,
Sumayah,12,7,0,0,1,,6,-1,0,-1,0,,-1,,1
Christiaan,12,8,1,1,1,,2,1,1,-1,0,,-1,,
Dylan,12,8,1,1,1,1,3,1,1,0,1,,1,,
Georgie,12,8,0,1,1,,1,1,1,1,1,,1,1,
Gill,12,8,0,1,0,,5,-1,0,1,1,,-1,,
Illiyin,12,8,0,1,0,,4,-1,-1,1,-1,,-1,,1
Christiaan,12,9,0,1,1,,3,1,1,1,1,,1,1,
Dylan,12,9,-1,0,-1,,1,,0,1,1,,1,,
Georgie,12,9,-1,1,1,,4,,1,1,1,,-1,,
Gill,12,9,-1,1,0,,2,,1,1,1,,-1,,1
Christiaan,12,10,0,1,1,,1,,-1,0,1,,,,
Dylan,12,10,-1,-1,-1,,3,,-1,1,0,,,,
Georgie,12,10,0,1,-1,,2,,1,1,1,,,1,
