Contestant,Series,Round,Signature Bake,Signature Flavor,Signature Looks,Signature Handshake,Tech,First Half Review,Showstopper Bake,Showstopper Flavor,Showstopper Looks,Showstopper Handshake,Second Half Review,Winner,Eliminated
Crystelle,9,1,0.0,1.0,0.5,,8,,1.0,1.0,1.0,,1.0,,
Freya,9,1,-0.5,0.5,0.0,,2,,1.0,1.0,1.0,,,,
George,9,1,-1.0,0.0,-1.0,,3,-1.0,0.0,0.5,-0.5,,-1.0,,
Giuseppe,9,1,1.0,1.0,1.0,,10,1.0,-0.5,1.0,1.0,,1.0,,
Jairzeno,9,1,0.0,1.0,0.0,,9,,1.0,1.0,-0.5,,-1.0,,
Jürgen,9,1,1.0,1.0,0.5,,6,,1.0,1.0,1.0,,1.0,1.0,
Lizzie,9,1,-0.5,-0.5,-1.0,,4,,0.0,0.5,-0.5,,,,
Maggie,9,1,1.0,1.0,-0.5,,1,1.0,0.5,0.0,-0.5,,1.0,,
Rochica,9,1,-0.5,1.0,0.5,,7,,0.5,1.0,0.0,,,,
Tom,9,1,0.5,0.0,-0.5,,5,-1.0,-0.5,0.0,-0.5,,-1.0,,1.0
Amanda,9,2,-0.5,1.0,-0.5,,4,,0.5,1.0,-0.5,,-1.0,,
Chigs,9,2,0.5,0.5,0.5,,7,,0.0,0.0,0.5,,1.0,,
Crystelle,9,2,1.0,1.0,0.5,,10,,1.0,1.0,1.0,,,,
Freya,9,2,0.5,0.0,0.5,,3,,0.5,0.0,1.0,,,,
George,9,2,0.5,1.0,-0.5,,8,,0.5,1.0,0.5,,1.0,,
Giuseppe,9,2,1.0,0.5,1.0,,2,,0.5,1.0,1.0,,1.0,,
Jairzeno,9,2,-0.5,0.0,-0.5,,9,,-0.5,1.0,-0.5,,-1.0,,1.0
Jürgen,9,2,1.0,1.0,1.0,,1,,1.0,1.0,1.0,,1.0,1.0,
Lizzie,9,2,0.5,1.0,-0.5,,6,,0.5,0.0,-0.5,,,,
Maggie,9,2,-1.0,1.0,-0.5,,5,,-0.5,0.0,-0.5,,-1.0,,
Rochica,9,2,0.5,1.0,-0.5,,11,,1.0,0.0,0.5,,,,
Amanda,9,3,-0.5,0.0,-0.5,,3,,0.0,1.0,0.5,,,,
Chigs,9,3,-0.5,1.0,-0.5,,6,-1.0,1.0,0.0,1.0,,,,
Crystelle,9,3,0.0,1.0,0.5,,9,,1.0,1.0,1.0,,,,
Freya,9,3,1.0,1.0,0.5,,4,,1.0,0.5,1.0,,1.0,,
George,9,3,0.5,1.0,0.5,,7,,0.0,0.5,0.0,,,,
Giuseppe,9,3,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,,1.0,1.0,
Jürgen,9,3,-0.5,-0.5,-0.5,,5,,-0.5,1.0,0.5,,,,
Lizzie,9,3,1.0,1.0,1.0,,2,,0.5,0.0,0.5,,1.0,,
Maggie,9,3,0.5,1.0,0.5,,8,-1.0,-0.5,-0.5,-0.5,,-1.0,,
Rochica,9,3,0.0,0.0,0.5,,10,-1.0,-0.5,1.0,-0.5,,-1.0,,1.0
Amanda,9,4,0.0,-0.5,0.5,,8,,0.0,0.5,-0.5,,-1.0,,
Chigs,9,4,1.0,1.0,1.0,1.0,3,,1.0,1.0,1.0,,1.0,1.0,
Crystelle,9,4,0.0,1.0,0.5,,5,,1.0,0.5,1.0,,,,
Freya,9,4,-1.0,0.0,0.5,,6,,-0.5,0.0,-0.5,,-1.0,,
George,9,4,-0.5,1.0,-1.0,,7,,-0.5,0.5,-0.5,,,,
Giuseppe,9,4,0.5,1.0,0.5,,4,,1.0,1.0,1.0,,1.0,,
Jürgen,9,4,1.0,1.0,0.0,,1,,1.0,1.0,1.0,,1.0,,
Lizzie,9,4,-0.5,1.0,-0.5,,2,,-0.5,1.0,-0.5,,,,
Maggie,9,4,-0.5,1.0,-0.5,,9,,0.0,1.0,-0.5,,-1.0,,1.0
Amanda,9,5,1.0,1.0,0.0,,8,,1.0,1.0,0.0,,,,
Chigs,9,5,0.5,1.0,1.0,,2,,-0.5,0.5,0.0,,,,
Crystelle,9,5,1.0,1.0,1.0,,7,,1.0,1.0,1.0,,1.0,,
Freya,9,5,-1.0,1.0,-0.5,,5,,-0.5,0.5,-0.5,,-1.0,,1.0
George,9,5,-0.5,1.0,0.5,,6,,-1.0,1.0,0.0,,-1.0,,
Giuseppe,9,5,1.0,1.0,1.0,,1,,1.0,1.0,1.0,,1.0,1.0,
Jürgen,9,5,1.0,1.0,1.0,,4,,0.0,0.5,1.0,,1.0,,
Lizzie,9,5,-0.5,1.0,0.5,,3,,0.0,0.0,0.5,,,,
Amanda,9,6,-0.5,0.0,0.0,,5,-1.0,-0.5,-0.5,0.0,,-1.0,,1.0
Chigs,9,6,0.5,1.0,0.5,,3,1.0,0.0,0.5,0.0,,,,
Crystelle,9,6,-0.5,0.5,0.5,,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
George,9,6,0.5,1.0,0.5,,6,,0.0,0.5,0.0,,-1.0,,
Giuseppe,9,6,0.5,1.0,1.0,,4,1.0,1.0,1.0,1.0,,1.0,,
Jürgen,9,6,1.0,1.0,1.0,,1,,-0.5,0.5,1.0,,,,
Lizzie,9,6,0.5,1.0,0.5,,7,-1.0,0.5,0.5,0.5,,,,
Chigs,9,7,-0.5,0.5,1.0,,3,,-0.5,1.0,0.0,,1.0,,
Crystelle,9,7,1.0,0.5,1.0,,4,,0.5,1.0,1.0,,1.0,,
George,9,7,-0.5,-0.5,0.0,,6,,-0.5,0.5,1.0,,-1.0,,1.0
Giuseppe,9,7,-0.5,0.5,1.0,,1,,0.5,1.0,1.0,,1.0,,
Jürgen,9,7,-0.5,1.0,0.5,,2,,1.0,1.0,1.0,,1.0,1.0,
Lizzie,9,7,1.0,1.0,-0.5,,5,,-0.5,-0.5,0.0,,-1.0,,
Chigs,9,8,0.5,0.0,1.0,,1,,1.0,1.0,1.0,,1.0,1.0,
Crystelle,9,8,0.0,1.0,1.0,,5,-1.0,1.0,0.5,1.0,,-1.0,,
Giuseppe,9,8,1.0,1.0,1.0,,2,1.0,-0.5,-0.5,0.0,,,,
Jürgen,9,8,0.5,1.0,0.0,,4,,1.0,1.0,1.0,,1.0,,
Lizzie,9,8,1.0,1.0,0.0,,3,-1.0,1.0,1.0,1.0,,-1.0,,1.0
Chigs,9,9,1.0,1.0,1.0,1.0,4,,1.0,1.0,1.0,,1.0,,
Crystelle,9,9,1.0,1.0,1.0,1.0,3,,1.0,1.0,1.0,,1.0,1.0,
Giuseppe,9,9,1.0,1.0,1.0,1.0,2,,1.0,0.5,0.5,,-1.0,,
Jürgen,9,9,1.0,0.5,1.0,,1,,0.5,1.0,0.0,,-1.0,,1.0
Chigs,9,10,0.0,1.0,0.5,,2,-1.0,1.0,1.0,1.0,,,,
Crystelle,9,10,0.0,1.0,0.0,,1,1.0,-1.0,1.0,1.0,,,,
Giuseppe,9,10,0.0,1.0,0.5,,3,,1.0,1.0,1.0,,,1.0,
